Size,TA,C1,C2,Anyone,Total
1022,0.1917448859898286,0.06775644548004493,0.19862694640007247,0.06320139839997864,0.5216833868103277
1023,0.192943304700093,0.06715202039013093,0.19874146662023123,0.06353249061015959,0.5227230145902285
1024,0.19550049970996042,0.06720981784994365,0.19988527769000938,0.06442513408994273,0.5273780082698067
1025,0.19871787471984134,0.06702841451005952,0.1988401623302343,0.0638049342598606,0.5287496447600643
1026,0.2007801851200202,0.06746673581004871,0.1984722041900386,0.06427946795014577,0.5313634008200097
1027,0.19979882177995023,0.06743177462984022,0.20076241114013102,0.06414142100995378,0.5325115245100096
1028,0.20261282671970549,0.06776292178001313,0.19912395598013974,0.06440544874029001,0.5342785283400008
1029,0.20339045073007583,0.06778237103986612,0.19886633887992503,0.06424291811013973,0.5346609062101197
1030,0.20592835249997735,0.06795251811035996,0.19896344882981792,0.06461626379004884,0.5378421748101391
1031,0.20883741888002988,0.06758249692979007,0.20134520238996628,0.06472358552011429,0.5428643668501536
1032,0.2099733230298807,0.06749288790997525,0.19974907966028696,0.06402249691993347,0.5416096428299352
1033,0.21169193852994794,0.068208852159878,0.20101734640993527,0.06464191387975006,0.5459297054600029
1034,0.2140482398500899,0.0681233037299171,0.20121706860008998,0.06460722027000884,0.5483868895298292
1035,0.21589024234013776,0.06811240369999723,0.20007392026996967,0.0645453518197246,0.5489882284098349
1036,0.2179337777200999,0.06753288461983174,0.20233690625977033,0.06435706740012392,0.5525215164598558
1037,0.21801582253992818,0.06827488889019151,0.2022270958802983,0.06477537826001935,0.5536558467501164
1038,0.22045921369001006,0.06880918494021898,0.20165620429994305,0.06544878224005515,0.5567425728999297
1039,0.22345629537019704,0.06783638785011135,0.20295451162000971,0.0654909242098438,0.5601040059000661
1040,0.22680393190992618,0.06845149995016982,0.20324953594023099,0.06506417425993277,0.5639454405499419
1041,0.22900546664022842,0.06830097225974896,0.2030196528898159,0.06522104133011453,0.5659262267798113
1042,0.23078378030993918,0.06821189757996762,0.20441021288021147,0.06545211147975351,0.5692504717602059
1043,0.23133264374002466,0.0689998845300579,0.20260449595974933,0.06496836372029065,0.5682854197197957
1044,0.2337354143399716,0.06927872303986078,0.20284655656989345,0.06564222488996166,0.5718920475500272
1045,0.23475369092979237,0.0689397770798314,0.20478392396984418,0.0654201444499995,0.5742832971100507
1046,0.2361864940299347,0.06895443850004085,0.20325011188000644,0.06570831043994986,0.5744793305999701
1047,0.23924110288979136,0.06969071760988299,0.20420532044998255,0.06594474506011466,0.579461939389621
1048,0.24031632761991203,0.06902499582989549,0.20465858554001898,0.065558365790057,0.5799726127101167
1049,0.24484471374005806,0.06931321910004044,0.20354214270992088,0.0657500564300426,0.5838728304797405
1050,0.24399538690988265,0.06855100482989655,0.20413123573987832,0.065552814809962,0.5826011038696379
1051,0.24565379797979403,0.06912897101039561,0.2062114598799235,0.06613047348004329,0.5874981089399808
1052,0.24793599579981673,0.0687473717800458,0.205014625480253,0.06707068754982175,0.5891463871900123
1053,0.25081792778979434,0.0693866288802019,0.20666429505989073,0.06639208765027434,0.5936239602603746
1054,0.25204122171988275,0.06897324813027808,0.20555405892020645,0.06576917849994061,0.5927154411001538
1055,0.25612871232006,0.06936845261006966,0.20537911701037956,0.06681487509002182,0.5980691555400335
1056,0.25416596895986004,0.07049002501986251,0.20563655529003882,0.06650189739986673,0.5971738949299834
1057,0.25808133715014264,0.07017406937011401,0.20623798677002925,0.06591405214010593,0.6008019145100844
1058,0.26021292461988194,0.07064622839974617,0.2065546792000896,0.06647013360019628,0.604302251479603
1059,0.2616225276700061,0.07042176023991488,0.20564067395989696,0.06621532831006334,0.6042771055500634
1060,0.26456443993989526,0.06980963533998874,0.20667180900996754,0.06704274476986029,0.6085176455000691
1061,0.2638376730600794,0.0697731965300045,0.206879427820204,0.06745244266003284,0.6083319709998978
1062,0.2674300272000255,0.0696285305100173,0.20741486950970284,0.06747840151962009,0.612338076110027
1063,0.26899062377018707,0.07007036929993773,0.20862966788008636,0.06737574428992957,0.615449089469912
1064,0.27260006287000577,0.06988238599995383,0.2092075191297772,0.06751996821018111,0.6195938254001158
1065,0.2730566142697717,0.07180913743002748,0.20931130246004614,0.06672597119981219,0.6212867314400864
1066,0.2738618586699522,0.0696707093501027,0.20925562665986944,0.06722302980979293,0.6203945452899643
1067,0.27682114464980256,0.07107602424013748,0.2094549267399634,0.06727489347988012,0.6250359100299465
1068,0.27798847385991393,0.07069560170981276,0.20867156842992698,0.06737048106988368,0.6251034650499787
1069,0.28129353871987406,0.07059189666993916,0.2103186682299929,0.06751603022028575,0.6301059798100687
1070,0.2821514495997326,0.07041932763971999,0.21119636710020132,0.06795933158999105,0.6321166723499846
1071,0.28365831185004936,0.07173905561990977,0.2110869393500616,0.06769933798990678,0.6345963033699445
1072,0.2855272561499442,0.07051402491008048,0.2125354650500958,0.06776671153005737,0.6367315924898503
1073,0.28807090278005487,0.07057742490014789,0.21149985173997266,0.06790709452012379,0.6384435050799948
1074,0.28997821265998935,0.0708340520499405,0.2110389225198378,0.06775446688992816,0.6399966710899753
1075,0.290641397770014,0.07262806115999411,0.21086698464008805,0.06786498766992737,0.642391643490082
1076,0.2936435988199446,0.0714932526398843,0.21142249212993192,0.06877437094008201,0.6457188322400907
1077,0.2945398473797468,0.07232570604988724,0.2109027547801088,0.06869359000003897,0.6468507228999443
1078,0.29769986746025096,0.07092421419976745,0.211696931609913,0.06807305592974444,0.6487796097799946
1079,0.29742477124986183,0.07172168981986032,0.21181943366966152,0.06851988996997534,0.6498605618500732
1080,0.2982270520200109,0.07144083907995082,0.21305748378992576,0.06852398957980768,0.6516388136502428
1081,0.3010167232900858,0.07259891019981296,0.21384553047981172,0.06851285484011896,0.6564072880698586
1082,0.30546965313991675,0.07192861349012673,0.2123529182598577,0.06851574870015611,0.6586470027798714
1083,0.30468837030985013,0.07148390513990308,0.21359723664005287,0.06886898334982107,0.6590336677300729
1084,0.30772156958992125,0.07135586668988253,0.21386707459991158,0.0687343669400434,0.6620757045499704
1085,0.309840415809922,0.07276700461014116,0.2128999392901096,0.06891107907009428,0.6648462071000903
1086,0.3107889397600229,0.07174614037983701,0.21412787560013385,0.06914074007003364,0.6662121633801871
1087,0.3105201808801576,0.07296848419005983,0.21415129658005752,0.06919091353014664,0.6672287687496282
1088,0.31260143283994696,0.0733291452499907,0.21510380254971095,0.06903770675002306,0.6704650379501982
1089,0.31609281289991487,0.07298761424997792,0.21691200299010233,0.06950660058006179,0.6758921914900565
1090,0.31812413054980426,0.07217048554994107,0.21496138848015106,0.06951845810031955,0.6751688071500758
1091,0.3203204898501644,0.07319320559996413,0.21628361279974342,0.07045372083000984,0.6806462000101965
